#strcture_id,color(hex)
10153,f2f1f0
10154,f2f1f0
10155,f2f1f0
10156,f2f1f0
10157,f2f1f0
10506,f2f1f0
11580,f2f1f0
11581,f2f1f0
11587,f2f1f0
11582,f2f1f0
11585,f2f1f0
11586,f2f1f0
11583,f2f1f0
11584,f2f1f0
11593,f2f1f0
11594,f2f1f0
11597,f2f1f0
11595,f2f1f0
11596,f2f1f0
11598,f2f1f0
15498,f2f1f0
11599,f2f1f0
11600,f2f1f0
13202,f2f1f0
13206,f2f1f0
15499,f2f1f0
13203,f2f1f0
11601,f2f1f0
11602,f2f1f0
13204,f2f1f0
13205,f2f1f0
11603,f2f1f0
11604,f2f1f0
11605,f2f1f0
11606,f2f1f0
11588,f2f1f0
13201,f2f1f0
11589,f2f1f0
13200,f2f1f0
11590,f2f1f0
11591,f2f1f0
11592,f2f1f0
12971,f2f1f0
12972,f2f1f0
12973,f2f1f0
12966,f2f1f0
12967,f2f1f0
12968,f2f1f0
12969,f2f1f0
12970,f2f1f0
12974,f2f1f0
13213,f2f1f0
12979,f2f1f0
13214,f2f1f0
13273,f2f1f0
12975,f2f1f0
13212,f2f1f0
12976,f2f1f0
12977,f2f1f0
13211,f2f1f0
12978,f2f1f0
13210,f2f1f0
13274,f2f1f0
13275,f2f1f0
12980,f2f1f0
13276,f2f1f0
13207,f2f1f0
13208,f2f1f0
13209,f2f1f0
13277,f2f1f0
146034614,f2f1f0
10508,f2f1f0
10509,f2f1f0
11612,f2f1f0
11607,f2f1f0
11610,f2f1f0
11611,f2f1f0
11608,f2f1f0
11609,f2f1f0
10511,f2f1f0
11617,f2f1f0
11620,f2f1f0
11618,f2f1f0
11619,f2f1f0
10512,f2f1f0
15500,f2f1f0
11621,f2f1f0
11622,f2f1f0
13082,f2f1f0
13086,f2f1f0
15501,f2f1f0
13083,f2f1f0
11623,f2f1f0
11624,f2f1f0
13084,f2f1f0
13085,f2f1f0
11625,f2f1f0
11626,f2f1f0
11627,f2f1f0
11628,f2f1f0
10510,f2f1f0
13081,f2f1f0
11613,f2f1f0
13080,f2f1f0
11614,f2f1f0
11615,f2f1f0
11616,f2f1f0
11634,f2f1f0
11635,f2f1f0
11636,f2f1f0
11629,f2f1f0
11630,f2f1f0
11631,f2f1f0
11632,f2f1f0
11633,f2f1f0
10514,f2f1f0
11645,f2f1f0
11646,f2f1f0
11647,f2f1f0
13278,f2f1f0
11641,f2f1f0
13094,f2f1f0
11642,f2f1f0
11643,f2f1f0
13093,f2f1f0
11644,f2f1f0
11640,f2f1f0
13091,f2f1f0
13092,f2f1f0
11648,f2f1f0
13279,f2f1f0
10513,f2f1f0
11637,f2f1f0
13087,f2f1f0
13088,f2f1f0
11638,f2f1f0
13089,f2f1f0
13090,f2f1f0
11639,f2f1f0
146034618,f2f1f0
10515,f2f1f0
10516,f2f1f0
11664,f2f1f0
11665,f2f1f0
11666,f2f1f0
11649,f2f1f0
11650,f2f1f0
11651,f2f1f0
11658,f2f1f0
11659,f2f1f0
11660,f2f1f0
11661,f2f1f0
11662,f2f1f0
11663,f2f1f0
11652,f2f1f0
11653,f2f1f0
11654,f2f1f0
11655,f2f1f0
11656,f2f1f0
11657,f2f1f0
10518,f2f1f0
11679,f2f1f0
11680,f2f1f0
11681,f2f1f0
11688,f2f1f0
11689,f2f1f0
11690,f2f1f0
11682,f2f1f0
11683,f2f1f0
11684,f2f1f0
11685,f2f1f0
11686,f2f1f0
11687,f2f1f0
10519,f2f1f0
15502,f2f1f0
11691,f2f1f0
11692,f2f1f0
11693,f2f1f0
11694,f2f1f0
11695,f2f1f0
11696,f2f1f0
13097,f2f1f0
13105,f2f1f0
15503,f2f1f0
13098,f2f1f0
11697,f2f1f0
11698,f2f1f0
11699,f2f1f0
11700,f2f1f0
11701,f2f1f0
11702,f2f1f0
13099,f2f1f0
13100,f2f1f0
13101,f2f1f0
13102,f2f1f0
13103,f2f1f0
13104,f2f1f0
11703,f2f1f0
11704,f2f1f0
11705,f2f1f0
11706,f2f1f0
11707,f2f1f0
11708,f2f1f0
11709,f2f1f0
11710,f2f1f0
11711,f2f1f0
11712,f2f1f0
11713,f2f1f0
11714,f2f1f0
10517,f2f1f0
13096,f2f1f0
11667,f2f1f0
11668,f2f1f0
11669,f2f1f0
13095,f2f1f0
11670,f2f1f0
11671,f2f1f0
11672,f2f1f0
11673,f2f1f0
11674,f2f1f0
11675,f2f1f0
11676,f2f1f0
11677,f2f1f0
11678,f2f1f0
11728,f2f1f0
11729,f2f1f0
11730,f2f1f0
11731,f2f1f0
11732,f2f1f0
11733,f2f1f0
11734,f2f1f0
11715,f2f1f0
11716,f2f1f0
11717,f2f1f0
11718,f2f1f0
11719,f2f1f0
11720,f2f1f0
11721,f2f1f0
11722,f2f1f0
11723,f2f1f0
11724,f2f1f0
11725,f2f1f0
11726,f2f1f0
11727,f2f1f0
10521,f2f1f0
11746,f2f1f0
11747,f2f1f0
11748,f2f1f0
11749,f2f1f0
11750,f2f1f0
11751,f2f1f0
11752,f2f1f0
13280,f2f1f0
11742,f2f1f0
13109,f2f1f0
11743,f2f1f0
11744,f2f1f0
13108,f2f1f0
11745,f2f1f0
11741,f2f1f0
13106,f2f1f0
13107,f2f1f0
11753,f2f1f0
11754,f2f1f0
11755,f2f1f0
13281,f2f1f0
13282,f2f1f0
13283,f2f1f0
10520,f2f1f0
11735,f2f1f0
11736,f2f1f0
11737,f2f1f0
11738,f2f1f0
11739,f2f1f0
11740,f2f1f0
13284,f2f1f0
146034622,f2f1f0
