acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,st_level,structure_id_path
root,f2f1f0,0,997,root,,,/997/
grey,f2f1f0,1,8,Basic cell groups and regions,997,,/997/8/
CH,f2f1f0,2,567,Cerebrum,8,,/997/8/567/
CTX,f2f1f0,3,688,Cerebral cortex,567,,/997/8/567/688/
CTXpl,f2f1f0,4,695,Cortical plate,688,,/997/8/567/688/695/
Isocortex,f2f1f0,5,315,Isocortex,695,,/997/8/567/688/695/315/
FRP,f2f1f0,6,184,"Frontal pole, cerebral cortex",315,,/997/8/567/688/695/315/184/
FRP1,f2f1f0,7,68,"Frontal pole, layer 1",184,,/997/8/567/688/695/315/184/68/
FRP2/3,f2f1f0,8,667,"Frontal pole, layer 2/3",184,,/997/8/567/688/695/315/184/667/
MO,f2f1f0,9,500,Somatomotor areas,315,,/997/8/567/688/695/315/500/
MO1,f2f1f0,10,107,"Somatomotor areas, Layer 1",500,,/997/8/567/688/695/315/500/107/
MO2/3,f2f1f0,11,219,"Somatomotor areas, Layer 2/3",500,,/997/8/567/688/695/315/500/219/
MO5,f2f1f0,12,299,"Somatomotor areas, Layer 5",500,,/997/8/567/688/695/315/500/299/
MO6a,f2f1f0,13,644,"Somatomotor areas, Layer 6a",500,,/997/8/567/688/695/315/500/644/
MO6b,f2f1f0,14,947,"Somatomotor areas, Layer 6b",500,,/997/8/567/688/695/315/500/947/
MOp,f2f1f0,15,985,Primary motor area,500,,/997/8/567/688/695/315/500/985/
MOp1,f2f1f0,16,320,"Primary motor area, Layer 1",985,,/997/8/567/688/695/315/500/985/320/
MOp2/3,f2f1f0,17,943,"Primary motor area, Layer 2/3",985,,/997/8/567/688/695/315/500/985/943/
MOp5,f2f1f0,18,648,"Primary motor area, Layer 5",985,,/997/8/567/688/695/315/500/985/648/
MOp6a,f2f1f0,19,844,"Primary motor area, Layer 6a",985,,/997/8/567/688/695/315/500/985/844/
MOp6b,f2f1f0,20,882,"Primary motor area, Layer 6b",985,,/997/8/567/688/695/315/500/985/882/
MOs,f2f1f0,21,993,Secondary motor area,500,,/997/8/567/688/695/315/500/993/
MOs1,f2f1f0,22,656,"Secondary motor area, layer 1",993,,/997/8/567/688/695/315/500/993/656/
MOs2/3,f2f1f0,23,962,"Secondary motor area, layer 2/3",993,,/997/8/567/688/695/315/500/993/962/
MOs5,f2f1f0,24,767,"Secondary motor area, layer 5",993,,/997/8/567/688/695/315/500/993/767/
MOs6a,f2f1f0,25,1021,"Secondary motor area, layer 6a",993,,/997/8/567/688/695/315/500/993/1021/
MOs6b,f2f1f0,26,1085,"Secondary motor area, layer 6b",993,,/997/8/567/688/695/315/500/993/1085/
SS,f2f1f0,27,453,Somatosensory areas,315,,/997/8/567/688/695/315/453/
SS1,f2f1f0,28,12993,"Somatosensory areas, layer 1",453,,/997/8/567/688/695/315/453/12993/
