x,y,z,t
1.713000000000000000e+03,1.012000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.713000000000000000e+03,1.061000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,7.670000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,7.910000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,8.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,8.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,8.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,9.140000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.692000000000000000e+03,9.260000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,9.380000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.692000000000000000e+03,9.510000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,9.630000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,9.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,9.870000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.012000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.024000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.037000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.049000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.061000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.073000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.086000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.098000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000000000000e+03,1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.691000000000000000e+03,1.122000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
